Evidence Reference,Question,Tips,Compliant,Evidence/Answer
4.5.3,Multifactor authentication is used wherever technically feasible.,"This should at a minimum include privileged domain accounts and all accounts accessible from outside your network.
Where it is not possible to apply multifactor authentication, the risk is assessed, documented, accepted and a time bound plan with regular review is signed off by the Board or person/group with delegated responsibility

[NCSC guidance](https://www.ncsc.gov.uk/guidance/multi-factor-authentication-online-services) on Multi- Factor Authentication is available.",, 
4.5.4,"Passwords for highly privileged system accounts, social media accounts and infrastructure components shall be changed from default values and should have high strength.","Your policy / procedure should direct that passwords for system accounts, social media accounts and infrastructure components are changed from their default values and replaced with secure passwords in line with the organisation's password policy.",,
4.5.5,"Your organisation, or your supply chain with access to your systems, grant limited privileged access and third party access only for a limited time period, or is planning to do so.","Explain your organisation's approach for granting third party and privileged access to its infrastructure - this should be pre-approved, time limited to the length of time required to carry out the activity and be monitored and subjected to logging. This should be included in the relevant policy such as privileged access management policy/procedure and/or third party/supplier access policy/procedure.",,
5.1.1,"Root cause analysis is conducted routinely as a key part of your lessons learned activities following a data security or protection incident, with findings acted upon.","Explain how the organisation identifies the root cause of data security and protection incidents, how it uses this to design and implement mitigating controls to either prevent similar incidents from occurring in the future or to be in a position to better manage them if they do occur. This should be undertaken with a multi-disciplinary team.

Provide details where process review findings have informed the immediate future technical protection and remediated any systemic vulnerabilities of the system or service, to ensure identified issues cannot arise in the same way again.  ",,
5.2.1,"Actions to address problem processes are being monitored, and assurance is given to the board or equivalent senior team.","Explain how the organisation manages and reports on operational process improvements, including if any findings or outstanding actions have been escalated to the Board during the last twelve months.",,
6.1.1,A policy/procedure is in place to ensure data security and protection incidents are managed/reported appropriately.,Confirmation that a functioning data security and protection breach reporting and management mechanism is in place including use of the DSP Toolkit incident reporting tool,,
6.1.2,The board or equivalent have been informed of the action plan for all data security and protection breaches reported to the ICO and/or the DHSC in the last twelve months.,"Use the comments field to outline a summary of:
- the process in place to provide the Board with an oversight of an action plan that outlines clear steps for mitigating risk and/or service improvement for all data security and personal data breaches, including responsibility and timescales for completing the work. 

- how the organisation escalates and manages any actions not completed within the timescales.
",,
6.1.3,Individuals affected by a breach where there is high risk to their right's and freedoms are appropriately informed.,"In [accordance with guidance](https://www.nhsx.nhs.uk/information-governance/guidance/personal-data-breaches/). 

If no breaches then please tick and state ""No breaches"".",,
6.2.1,"Antivirus/anti-malware software has been installed on all computers that are connected to, or are capable of connecting to the Internet.","This applies to servers, desktop and laptop computers, as well as tablets and mobile devices running desktop operating systems (such as Windows, but not ChromeOS, Android or iOS). Please include the name of your anti-virus product in the comments.",,
6.2.3,Antivirus/anti-malware is kept continually up to date.,"Provide an explanation of how this is achieved. This could be through automatic update, central deployment, ATP etc.

This should be documented in your antivirus policy/procedure. ",,
6.2.4,Antivirus/anti-malware software scans files automatically upon access.,"This includes when files are downloaded and opened, and when they are accessed from a network folder.",,
6.2.5,Connections to malicious websites on the Internet are prevented.,"This applies to all corporate devices.  It may be achieved by one or more of the following: using a web proxy, antivirus/anti-malware, browser tools, Protective DNS services, blocklists or other mechanisms. Your organisation should maintain technical documentation that sets out the controls in place.",,
6.2.6,Number of phishing emails reported by staff per month.,"From your service desk system or service the number of reported phishing mails.

Your organisation should maintain a process for staff to escalate potentially malicious phishing emails to the relevant team (IT/IT security). Staff (and temps/contractors) are made aware of this process through information security training or another mechanism.",,
6.2.8,"You have implemented on your email, Domain-based Message Authentication Reporting and Conformance (DMARC), Domain Keys Identified Mail (DKIM) and Sender Policy Framework (SPF) for your organisation's domains to make email spoofing difficult.",This applies to email systems.,,
6.2.9,"You have implemented spam and malware filtering, and enforce DMARC on inbound email.","This applies to email systems 

You should use the comments field to provide the name of the email filtering product/solution which your organisation uses to prevent potentially malicious emails(including phishing) from reaching the end users' email accounts.",,
6.3.1,"If you have had a data security incident, was it caused by a known vulnerability?","Provide details of incidents over the reporting period (a year). Known vulnerabilities are those listed on the [Cyber alerts portal](https://digital.nhs.uk/cyber-alerts).  If no incidents have occurred, state: ""None"".",,
6.3.2,The organisation acknowledges all 'high severity' cyber alerts within 48 hours using the respond to an NHS cyber alert service.,"Your response [should cover 'high severity' cyber alerts](https://digital.nhs.uk/services/respond-to-an-nhs-cyber-alert)issued over the last 12 months.

",,
6.3.3,The organisation has a proportionate monitoring solution to detect cyber events on systems and services.,"Since 1st July 2022, all systems monitoring requirements have been assessed and technology solutions and processes have been implemented to detect cyber security events.  

A risk based approach to monitoring for all systems should be in place ensuring that the organisation's most critical services and assets are in scope of its monitoring solutions. Where any gaps have been identified, mitigations have been put in place.
",,
6.3.4,All new digital services that are attractive to cyber criminals (such as for fraud) are implementing transactional monitoring techniques from the outset.,"Includes an assessment of which new (implemented in the last 12 months) services are susceptible to fraud and confirmation that transactional-level monitoring has been implemented to assist in the identification of potential instances of fraudulent activity. This should be referenced in systems/services requirements documentation. 

If none, please 'tick' and explain in the comments section.",,
6.3.5,Have you had any repeat data security incidents within the organisation during the past twelve months?,"A repeat incident is defined as an exploitation of the same vulnerability on the same systems or different ones, that occurs within three calendar months of a previous occurrence.

Provide details of how you undertake a review of incidents and consider lessons learned to identify the root cause of incidents and implement mitigations to prevent similar incidents from occurring.",,
7.1.1,"Your organisation understands the health and care services it provides.
","Provide one or more documents which identify: i. What your organisation's key operational services are, ii. What technologies and services their operational services rely on to remain available and secure, iii. What other dependencies the operational services have (power, cooling, data, people etc.), iv. The impact of loss of availability of the service.

Documentation should have been reviewed in the last twelve months.",,
7.1.2,"Your organisation has well defined processes in place to ensure the continuity of services in the event of a data security incident, failure or compromise.","This may include the preservation of manual processes for essential services.

The organisation has Business Continuity arrangements in place, with Business Continuity Plans (BCPs) that outline how the organisation would respond and continue to provide its key services in the event of a data security incident, failure or compromise. BCPs are clear as regards people, resource and information requirements for service continuity purposes.",,
7.1.3,"You understand the resources and information that will likely be needed to carry out any required response activities, and arrangements are in place to make these resources available.",,,
7.1.4,"You use your security awareness, e.g.Êthreat intelligence sources, to make temporary security changes in response to new threats, e.g. a widespread outbreak of very damaging malware.",Provide evidence of threat intelligence reports/outputs which are pro-actively used to mitigate potential threats,,
7.2.1,Explain how your data security incident response and management plan has been tested to ensure all parties understand their roles and responsibilities as part of the plan.,"This should be since 1st July 2022 with active board and business representation. Exercise scenarios should be based on incidents experienced by your and other organisations, or are composed using threat intelligence.",,
7.2.2,"From the business continuity exercise, explain what issues and actions were documented, with names of actionees listed against each item.",Each action should have an owner and timescale and evidence that the issues and actions recorded were implemented within the defined timescales. ,,
7.3.1,"On discovery of an incident, mitigating measures shall be assessed and applied at the earliest opportunity, drawing on expert advice where necessary.","Your data security incident response plan should include how technical (in-house or third party) resources would be deployed during an incident, being aware of how to leverage support from health and social care bodies such as NHS Digital or a cyber incident response company.",,
7.3.2,"All emergency contacts are kept securely, in hardcopy and are up-to-date.","The organisation should store its emergency contacts (phone number as well as email) in hard copy for use during a data security incident, where the organisation's systems may be unavailable. his should be accessible to staff with responsibilities for incident response. ",,
7.3.3,Draft press materials for data security incidents are ready.,"The organisation has drafted and approved, at the Board level, press material that could form part of statements that could be released in the event of a data security incident and the organisation has suitable procedures for agreeing statements and materials in the event of an incident that can't be prepared for pre-emptively.",,
7.3.4,"Suitable backups of all important data and information needed to recover the essential service are made, tested, documented and routinely reviewed.","The organisation has a backup policy/procedure which includes  details on how often the organisation backs up its most important data, and how long these backups are stored for. The procedure should also include the steps that would be taken if the organisation has to restore from backups.",,
7.3.5,Your organisation tests its backups regularly to ensure it can restore from a backup.,"Backups are  tested on a regular basis (at least annually). The backups referred to in this evidence item are to facilitate full system restores, not ad-hoc file restoration requests.",,
7.3.6,"Your organisation's backups are kept securely and separate from your network ('offline'), or in a cloud service designed for this purpose.","Cloud synching services, such as OneDrive, SharePoint or Google Drive, should not be used as your only backup and stored backup should not be permanently connected to your network. 

Further guidance is available from the [National Cyber Security Centre](https://www.ncsc.gov.uk/blog-post/offline-backups-in-an-online-world)

With at least one separate backup offline at any given time, an incident cannot affect all backups simultaneously and hence reducing the likelihood that an organisation will be unable to effectively recover its key services.",,
8.1.1,Provide evidence of how the organisation tracks and records all software assets and their configuration.,"The organisation should have a documented process for managing software assets and their configuration so that vulnerabilities can be identified, managed and remediated. This includes having a list of software assets to be managed centrally with version numbers included and a mechanism for updating this asset register to reflect the changes in the organisation's application landscape.",,
8.1.2,The organisation tracks and records all end user devices and removable media assets.,"The organisation has an effective IT asset management process, maintaining an up to date list of all IT assets (including end user devices and removable media), to reduce the risk of IT assets, and the data held on them, from being lost without Management becoming aware.",,
8.1.3,"Devices that are running out-of-date unsupported software and no longer receive security updates (patches) are removed from the network, or the software in question is uninstalled. Where this is not possible, the device should be isolated and have limited connectivity to the network, and the risk assessed, documented, accepted, regularly reviewed and signed off by the SIRO.","Provide summary details in the comments box. Documentation should be held locally for protections for these devices . This applies to any device (managed internally or by a third party) that has the ability to connect to the Internet including servers,  desktop and laptop computers, as well as tablets and mobile devices running operating systems. Example routes to the Internet include (but are not limited to) HSCN, N3/Transition network, VPNs, or cloud computing services. Devices that are standalone or air-gapped should be captured under 9.5.9.",,
8.1.4,"The organisation ensures that software that is no longer within support or receiving security updates is uninstalled.  Where this is impractical, the endpoint should be isolated and have limited connectivity to the network.",Covers software running on computers that are connected to the internet.,,
8.2.1,"List any unsupported software prioritised according to business risk, with remediation plan against each item.","Unsupported software is software which is no longer receiving security updates e.g. Windows XP, Java or Windows Server 2008. Unsupported software is less secure and so poses a larger risk to your organisation. The unsupported software list will comprise of the results of the software survey where the software is not supported/updated.",,
8.2.2,The SIRO confirms that the overall risks of using unsupported systems are being managed and the scale of unsupported software is reported to your board along with the plans to address.,"The SIRO has been briefed on the unsupported systems and has made a conscious decision to accept and manage the associated risks. A report has been provided to the board in the last 12 months.
 
Where out of support software cannot be uninstalled, replaced or otherwise remediated for a valid business reason, there is a mechanism in place for the SIRO to consider and make a conscious decision whether to accept and manage the associated risks. 
 
You should have evidence that a report has been provided to the Board on the overall risks that the organisation is carrying on unsupported systems in the last 12 months. 
 
If your organisation has no unsupported systems, please tick and state ""No unsupported systems"" as a comment.",,
8.3.1,How do your systems receive updates and how often?,"This is your patch management procedure and/or strategy/policy, that enables security patches to be applied at the operating system, database, application and infrastructure levels. You may need your IT supplier/s to assist with this.",,
8.3.2,"How often, in days, is automatic patching typically being pushed out to remote endpoints?",Remote endpoints being those devices or computers that are not on the core network (such as home or mobile workers). Provide the usual number of days between one wave of remote patching and the next.,,
8.3.3,There is a documented approach to applying security updates (patches) agreed by the SIRO.,"Provide details in the comments box. This applies to any device (managed internally or by a third party) that has the ability to connect to the Internet including servers,  desktop and laptop computers, as well as tablets and mobile devices. Example routes to the Internet include (but are not limited to) HSCN, N3/Transition network, VPNs, or cloud computing services.",,
8.3.4,"Where a security patch has been classed as critical or high-risk vulnerability it is applied within 14 days, or the risk has been assessed, documented, accepted, reviewed regularly and signed off by the SIRO with an auditor agreeing a robust risk management process has been applied.","Provide summary details in the comments box. Documentation should be held locally for all security patches. This applies to any device (managed internally or by a third party) that has the ability to connect to the Internet including servers,  desktop and laptop computers, as well as tablets and mobile devices.  Example routes to the Internet include (but are not limited to) HSCN, N3/Transition network, VPNs, or cloud computing services. Devices that are unable to be patched should be captured under 8.1.3. Devices that are standalone or air-gapped should be captured under 9.5.9.",,
8.3.5,"Where a security patch has been classed as critical or high-risk vulnerability has not been applied, explain the technical remediation and risk management that has been undertaken.","Provide details for each patch not applied. This applies to any device (managed internally or by a third party) that has the ability to connect to the Internet including servers,  desktop and laptop computers, as well as tablets and mobile devices. Example routes to the Internet include (but are not limited to) HSCN, N3/Transition network, VPNs, or cloud computing services.",,
8.3.6,Your organisation is actively using and managing Advanced Threat Protection (ATP) and regularly reviewing alerts from Microsoft defender for endpoint.,Confirm that your organisation has the technology and processes in place to actively manage ATP and Microsoft defender for endpoint. If alternative solution in place provide details in the comments field.,,
8.3.7,95% of your organisation's server estate and 98% of your desktop estate are on supported versions of operating systems.,"Please upload a screenshot/s from Advanced Threat Protection (ATP) demonstrating the percentage of servers and desktops on supported versions of operating systems. 

If not met, please provide details in the comments on the plan to achieve 95% of your server estate and 98% of your desktop estate on supported versions of operating systems.",,
8.3.8,Your organisation is registered for and actively using the NCSC early warning service.,The [NCSC early warning service](https://www.ncsc.gov.uk/information/early-warning-service) helps organisations investigate cyber attacks on their network by notifying them of malicious activity that has been detected in information feeds.,,
8.4.1,Your organisation's infrastructure is protected from common cyber-attacks through secure configuration and patching?,"Explain at summary level, the measures the organisation uses to protect its IT infrastructure from threats and common cyber-attacks. Where it is not possible to apply these measures, explain any mitigations (such as logical separation).",,
8.4.2,"All infrastructure is running operating systems and software packages that are patched regularly, and as a minimum in vendor support.","The organisation has the processes and technology to patch its IT infrastructure on a continuous basis. This reduces the risk of a security vulnerability being exploited by a potential threat actor, resulting in a data security and protection incident. 
 
This covers software running on devices that are connected to or capable of connecting to the Internet. Unsupported software should be covered under 8.3.4.",,
8.4.3,"You maintain a current understanding of the exposure of your hardware and software to publicly-known vulnerabilities.
",The organisation has a vulnerability management process that outlines how the organisation identifies and effectively manages vulnerabilities through to remediation. This may include using [NHS Digital's VMS and / or Bitsight service.](https://digital.nhs.uk/cyber),,
9.1.1,"The Head of IT, or equivalent role, confirms all networking components have had their default passwords changed to a high strength password.",Confirm you have a process whereby network components have their administrative passwords changed from the vendor supplied default passwords to help prevent a threat actor from being able to gain administrative access to the devices.,,
9.1.2,"The Head of IT, or equivalent role, confirms all organisational devices have had their default passwords changed.","There is a requirement for the organisation's end user device passwords to be changed from their default values. This covers the organisation's servers, desktop computers, laptop computers, tablets and mobile phones.

This can be evidenced through the organisation's password policy and password configuration settings.",,
9.2.1,"The annual IT penetration testing is scoped in negotiation between the SIRO, business and testing team including a vulnerability scan and checking that all networking components have had their default passwords changed to a high strength password.",Use the comments field to outline the scope of the organisation's penetration test and redact any elements of the scope that are sensitive.,,
9.2.2,The date the penetration test and vulnerability scan was undertaken.,This should be since 1st July 2022.,,
9.2.3,"The SIRO or equivalent senior role has reviewed the results of latest penetration testing, with an action plan for its findings.",Provide the penetration test action plan with confirmation of SIRO review.,,
9.3.1,"All web applications are protected and not susceptible to common security vulnerabilities, such as described in the top ten Open Web Application Security Project (OWASP) vulnerabilities.","Confirm that the organisation has a secure software development lifecycle (SSDLC) or equivalent software and code security approach in place, aligned to industry [good practice such as OWASP](https://www.ncsc.gov.uk/collection/developers-collection/principles/produce-clean-maintainable-code), to reduce the risk of code vulnerabilities or web application vulnerabilities being exploited. 

If no web applications, 'tick' yes and explain in the comments.",,
9.3.3,"The organisation has a technology solution or service that prevents users from accessing potentially malicious websites, reducing the risk of the organisation's infrastructure being infected with malware.

","The organisation uses the [UK Public Sector DNS service](https://www.ncsc.gov.uk/information/pdns), or equivalent protective DNS service, to resolve Internet DNS queries. ",,
9.3.4,The organisation ensures that changes to its authoritative DNS entries can only be made by strongly authenticated and authorised administrators.,Only authorised individuals are able to make changes to the organisation's authoritative DNS entries to prevent domain addresses being pointed toward potentially malicious IP addresses.,,
9.3.5,The organisation understands and records all IP ranges in use across the organisation.,"This should be reviewed regularly, the reviews can manual or automatic.

Any amendments to relevant IP addresses should be [maintained in the IP Address Management](https://digital.nhs.uk/services/health-and-social-care-network/hscn-technical-guidance/hscn-ip-address-management) ",,
9.3.6,"The organisation protects its data in transit (including email) using appropriate technical controls, such as encryption.","TLS, where used, should be well-configured TLS 1.2 or better.",,
